gene	D0h.rep1	D0h.rep2	D1h.rep1	D1h.rep2	D2h.rep1	D2h.rep2	D4h.rep1	D4h.rep2	R1h.rep1	R1h.rep2	R2h.rep1	R2h.rep2	R4h.rep1	R4h.rep2
AT5G02565	7.844470144	12.07819793	10.2101615	4.118011396	10.75769065	0.882684506	15.82807851	10.07111089	23.6726925	11.01432881	15.19320904	16.99075489	8.267983178	4.113720183
AT1G58150	9.717249053	12.2170278	1.403897206	12.26824229	10.17932018	0	17.85731934	19.48946459	10.1385097	12.19989893	14.6234637	8.899919226	6.135368469	20.74000592
AT2G35744	30.5539831	20.00731609	30.2459879	58.68687507	31.11779524	36.74872583	43.86627892	43.00406844	21.12808683	24.98556341	63.25375257	40.98673963	22.69583809	34.25322958
AT3G57157	37.11743132	37.79159706	7.357132191	18.9028886	8.149898752	23.55687553	5.52390179	8.361902197	1.864242956	1.959652032	3.243782183	1.177779875	16.39143862	9.222023347
AT4G37483	13.40980369	2.772943809	20.11021173	9.367572854	22.71930507	12.08013108	13.51047187	14.90053249	26.05306786	5.601768474	6.743652433	8.080189823	12.23274704	13.69435798
AT3G13276	2.991034281	4.700603632	17.04508652	6.777879352	19.25651136	6.918190211	23.76135406	4.736042853	9.307354237	20.7184029	19.05269832	14.11234235	5.554433733	6.190460707
AT2G04965	145.4760522	52.68593237	2.93542143	39.46427588	53.21008276	0	47.83935266	34.31637785	22.31442326	5.277699223	46.59250772	82.89428899	30.18470049	47.30778211
AT3G47348	34.70772721	39.6694079	49.38414876	49.6414162	25.82254016	59.55178134	8.15396714	8.326768154	26.56728981	10.92794192	76.12393541	28.89856125	38.67192804	30.61091783
AT4G39361	36.20646997	18.44007633	37.13308109	19.9689236	29.26554552	47.14516023	10.26795862	27.13138623	17.59120367	11.61093829	43.77754371	43.26574369	29.88285349	14.74425876
AT2G04955	64.07906194	31.11652382	13.86937374	23.42429905	8.249348401	39.468043	8.786340431	10.45037345	20.42743176	3.117030414	14.18882576	25.85266347	26.07228828	30.03567911
AT3G48660	4.96659396	7.415057148	5.022832224	7.524521935	12.35656366	23.71043146	22.81768582	37.74801563	14.72751935	24.51198084	22.06672935	8.063866208	10.6987994	7.709416343
AT2G08765	73.75392031	28.9772628	58.12134431	50.79052306	34.02119667	31.63688384	44.28057155	42.46651758	42.95526478	20.31914201	74.47521156	43.26574369	39.84380465	18.21349611
AT1G74453	34.62167499	51.72800633	39.92173145	38.83284747	39.10941083	17.59484449	46.20581379	21.87669088	46.86028885	18.9997172	47.17491407	20.3006422	18.11082029	45.41547082
AT1G09467	41.01822306	46.48758739	101.617383	111.8464007	40.02493725	16.42052794	80.40717596	47.87891688	63.53047563	56.34720053	65.00682603	39.40712898	43.94537277	9.18327535
AT4G00530	9.223674498	11.15046188	7.688008507	3.445293926	9.522915605	3.347818395	11.00138424	12.35798131	9.610550547	9.829365749	13.7281496	21.41502931	15.28399914	11.01345192
